GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AV2001
"G0800650","1890","Colorado","080","Lake","0650","Lake",14454
"G0800670","1890","Colorado","080","La Plata","0670","La Plata",5455
"G0800690","1890","Colorado","080","Larimer","0690","Larimer",9690
"G0800710","1890","Colorado","080","Las Animas","0710","Las Animas",16954
"G0800730","1890","Colorado","080","Lincoln","0730","Lincoln",689
"G0800750","1890","Colorado","080","Logan","0750","Logan",3065
"G0800770","1890","Colorado","080","Mesa","0770","Mesa",4231
"G0800830","1890","Colorado","080","Montezuma","0830","Montezuma",1528
"G0800850","1890","Colorado","080","Montrose","0850","Montrose",3958
"G0800870","1890","Colorado","080","Morgan","0870","Morgan",1598
"G0800890","1890","Colorado","080","Otero","0890","Otero",4160
"G0800910","1890","Colorado","080","Ouray","0910","Ouray",6429
"G0800930","1890","Colorado","080","Park","0930","Park",3478
"G0800950","1890","Colorado","080","Phillips","0950","Phillips",2640
"G0800970","1890","Colorado","080","Pitkin","0970","Pitkin",8852
"G0800990","1890","Colorado","080","Prowers","0990","Prowers",1958
"G0801010","1890","Colorado","080","Pueblo","1010","Pueblo",30504
"G0801030","1890","Colorado","080","Rio Blanco","1030","Rio Blanco",1196
"G0801050","1890","Colorado","080","Rio Grande","1050","Rio Grande",3429
"G0801070","1890","Colorado","080","Routt","1070","Routt",2361
"G0801090","1890","Colorado","080","Saguache","1090","Saguache",3305
"G0801110","1890","Colorado","080","San Juan","1110","San Juan",1556
"G0801130","1890","Colorado","080","San Miguel","1130","San Miguel",2877
"G0801150","1890","Colorado","080","Sedgwick","1150","Sedgwick",1288
"G0801170","1890","Colorado","080","Summit","1170","Summit",1902
"G0801210","1890","Colorado","080","Washington","1210","Washington",2284
"G0801230","1890","Colorado","080","Weld","1230","Weld",11705
"G0801250","1890","Colorado","080","Yuma","1250","Yuma",2595
"G0900010","1890","Connecticut","090","Fairfield","0010","Fairfield",147420
"G0900030","1890","Connecticut","090","Hartford","0030","Hartford",144817
"G0900050","1890","Connecticut","090","Litchfield","0050","Litchfield",52714
"G0900070","1890","Connecticut","090","Middlesex","0070","Middlesex",39091
"G0900090","1890","Connecticut","090","New Haven","0090","New Haven",204873
"G0900110","1890","Connecticut","090","New London","0110","New London",75028
"G0900130","1890","Connecticut","090","Tolland","0130","Tolland",24883
"G0900150","1890","Connecticut","090","Windham","0150","Windham",44612
"G1000010","1890","Delaware","100","Kent","0010","Kent",24625
"G1000030","1890","Delaware","100","New Castle","0030","New Castle",82779
"G1000050","1890","Delaware","100","Sussex","0050","Sussex",32662
"G1100010","1890","District Of Columbia","110","District Of Columbia","0010","District Of Columbia",154695
"G1200010","1890","Florida","120","Alachua","0010","Alachua",9673
"G1200030","1890","Florida","120","Baker","0030","Baker",2588
"G1200070","1890","Florida","120","Bradford","0070","Bradford",5961
"G1200090","1890","Florida","120","Brevard","0090","Brevard",2836
"G1200130","1890","Florida","120","Calhoun","0130","Calhoun",1132
"G1200170","1890","Florida","120","Citrus","0170","Citrus",2090
"G1200190","1890","Florida","120","Clay","0190","Clay",3632
"G1200230","1890","Florida","120","Columbia","0230","Columbia",6393
"G1200250","1890","Florida","120","Dade","0250","Dade",640
"G1200270","1890","Florida","120","De Soto","0270","De Soto",4805
"G1200310","1890","Florida","120","Duval","0310","Duval",11970
"G1200330","1890","Florida","120","Escambia","0330","Escambia",11475
"G1200370","1890","Florida","120","Franklin","0370","Franklin",1950
"G1200390","1890","Florida","120","Gadsden","0390","Gadsden",4446
"G1200470","1890","Florida","120","Hamilton","0470","Hamilton",5337
"G1200530","1890","Florida","120","Hernando","0530","Hernando",1584
"G1200570","1890","Florida","120","Hillsborough","0570","Hillsborough",11996
"G1200590","1890","Florida","120","Holmes","0590","Holmes",4152
"G1200630","1890","Florida","120","Jackson","0630","Jackson",6332
"G1200650","1890","Florida","120","Jefferson","0650","Jefferson",3558
"G1200670","1890","Florida","120","Lafayette","0670","Lafayette",3447
"G1200690","1890","Florida","120","Lake","0690","Lake",6190
"G1200710","1890","Florida","120","Lee","0710","Lee",1334
"G1200730","1890","Florida","120","Leon","0730","Leon",3121
"G1200750","1890","Florida","120","Levy","0750","Levy",4457
"G1200770","1890","Florida","120","Liberty","0770","Liberty",818
"G1200790","1890","Florida","120","Madison","0790","Madison",5556
"G1200810","1890","Florida","120","Manatee","0810","Manatee",2714
"G1200830","1890","Florida","120","Marion","0830","Marion",9310
"G1200870","1890","Florida","120","Monroe","0870","Monroe",12815
"G1200890","1890","Florida","120","Nassau","0890","Nassau",3951
"G1200950","1890","Florida","120","Orange","0950","Orange",9039
"G1200970","1890","Florida","120","Osceola","0970","Osceola",2657
"G1201010","1890","Florida","120","Pasco","1010","Pasco",3872
"G1201050","1890","Florida","120","Polk","1050","Polk",7121
"G1201070","1890","Florida","120","Putnam","1070","Putnam",6404
"G1201090","1890","Florida","120","St Johns","1090","St Johns",5508
"G1201130","1890","Florida","120","Santa Rosa","1130","Santa Rosa",5768
"G1201190","1890","Florida","120","Sumter","1190","Sumter",3864
"G1201210","1890","Florida","120","Suwannee","1210","Suwannee",5581
"G1201230","1890","Florida","120","Taylor","1230","Taylor",1971
"G1201270","1890","Florida","120","Volusia","1270","Volusia",6004
"G1201290","1890","Florida","120","Wakulla","1290","Wakulla",1738
"G1201310","1890","Florida","120","Walton","1310","Walton",4072
"G1201330","1890","Florida","120","Washington","1330","Washington",5087
"G1300010","1890","Georgia","130","Appling","0010","Appling",6214
"G1300070","1890","Georgia","130","Baker","0070","Baker",1595
"G1300090","1890","Georgia","130","Baldwin","0090","Baldwin",5262
"G1300110","1890","Georgia","130","Banks","0110","Banks",6999
"G1300150","1890","Georgia","130","Bartow","0150","Bartow",14574
"G1300190","1890","Georgia","130","Berrien","0190","Berrien",8277
"G1300210","1890","Georgia","130","Bibb","0210","Bibb",19029
"G1300270","1890","Georgia","130","Brooks","0270","Brooks",6342
"G1300290","1890","Georgia","130","Bryan","0290","Bryan",2833
"G1300310","1890","Georgia","130","Bulloch","0310","Bulloch",9023
"G1300330","1890","Georgia","130","Burke","0330","Burke",5817
"G1300350","1890","Georgia","130","Butts","0350","Butts",5167
"G1300370","1890","Georgia","130","Calhoun","0370","Calhoun",2239
"G1300390","1890","Georgia","130","Camden","0390","Camden",2041
