GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A86001
"G0601110","1920","California","060","Ventura","1110","Ventura",27755
"G0601130","1920","California","060","Yolo","1130","Yolo",15520
"G0601150","1920","California","060","Yuba","1150","Yuba",9379
"G0800010","1920","Colorado","080","Adams","0010","Adams",14051
"G0800030","1920","Colorado","080","Alamosa","0030","Alamosa",5087
"G0800050","1920","Colorado","080","Arapahoe","0050","Arapahoe",13680
"G0800070","1920","Colorado","080","Archuleta","0070","Archuleta",3571
"G0800090","1920","Colorado","080","Baca","0090","Baca",8701
"G0800110","1920","Colorado","080","Bent","0110","Bent",9512
"G0800130","1920","Colorado","080","Boulder","0130","Boulder",31568
"G0800150","1920","Colorado","080","Chaffee","0150","Chaffee",7728
"G0800170","1920","Colorado","080","Cheyenne","0170","Cheyenne",3726
"G0800190","1920","Colorado","080","Clear Creek","0190","Clear Creek",2874
"G0800210","1920","Colorado","080","Conejos","0210","Conejos",8387
"G0800230","1920","Colorado","080","Costilla","0230","Costilla",5030
"G0800250","1920","Colorado","080","Crowley","0250","Crowley",6342
"G0800270","1920","Colorado","080","Custer","0270","Custer",2171
"G0800290","1920","Colorado","080","Delta","0290","Delta",13600
"G0800310","1920","Colorado","080","Denver","0310","Denver",249644
"G0800330","1920","Colorado","080","Dolores","0330","Dolores",1242
"G0800350","1920","Colorado","080","Douglas","0350","Douglas",3516
"G0800370","1920","Colorado","080","Eagle","0370","Eagle",3381
"G0800390","1920","Colorado","080","Elbert","0390","Elbert",6970
"G0800410","1920","Colorado","080","El Paso","0410","El Paso",42913
"G0800430","1920","Colorado","080","Fremont","0430","Fremont",17619
"G0800450","1920","Colorado","080","Garfield","0450","Garfield",9281
"G0800470","1920","Colorado","080","Gilpin","0470","Gilpin",1361
"G0800490","1920","Colorado","080","Grand","0490","Grand",2658
"G0800510","1920","Colorado","080","Gunnison","0510","Gunnison",5555
"G0800530","1920","Colorado","080","Hinsdale","0530","Hinsdale",535
"G0800550","1920","Colorado","080","Huerfano","0550","Huerfano",16566
"G0800570","1920","Colorado","080","Jackson","0570","Jackson",1340
"G0800590","1920","Colorado","080","Jefferson","0590","Jefferson",14297
"G0800610","1920","Colorado","080","Kiowa","0610","Kiowa",3752
"G0800630","1920","Colorado","080","Kit Carson","0630","Kit Carson",8912
"G0800650","1920","Colorado","080","Lake","0650","Lake",6602
"G0800670","1920","Colorado","080","La Plata","0670","La Plata",10754
"G0800690","1920","Colorado","080","Larimer","0690","Larimer",27827
"G0800710","1920","Colorado","080","Las Animas","0710","Las Animas",38357
"G0800730","1920","Colorado","080","Lincoln","0730","Lincoln",8236
"G0800750","1920","Colorado","080","Logan","0750","Logan",18334
"G0800770","1920","Colorado","080","Mesa","0770","Mesa",22139
"G0800790","1920","Colorado","080","Mineral","0790","Mineral",778
"G0800810","1920","Colorado","080","Moffat","0810","Moffat",5121
"G0800830","1920","Colorado","080","Montezuma","0830","Montezuma",5790
"G0800850","1920","Colorado","080","Montrose","0850","Montrose",11782
"G0800870","1920","Colorado","080","Morgan","0870","Morgan",16018
"G0800890","1920","Colorado","080","Otero","0890","Otero",22099
"G0800910","1920","Colorado","080","Ouray","0910","Ouray",2607
"G0800930","1920","Colorado","080","Park","0930","Park",1973
"G0800950","1920","Colorado","080","Phillips","0950","Phillips",5499
"G0800970","1920","Colorado","080","Pitkin","0970","Pitkin",2702
"G0800990","1920","Colorado","080","Prowers","0990","Prowers",13802
"G0801010","1920","Colorado","080","Pueblo","1010","Pueblo",56059
"G0801030","1920","Colorado","080","Rio Blanco","1030","Rio Blanco",3128
"G0801050","1920","Colorado","080","Rio Grande","1050","Rio Grande",7845
"G0801070","1920","Colorado","080","Routt","1070","Routt",8844
"G0801090","1920","Colorado","080","Saguache","1090","Saguache",4638
"G0801110","1920","Colorado","080","San Juan","1110","San Juan",1696
"G0801130","1920","Colorado","080","San Miguel","1130","San Miguel",5264
"G0801150","1920","Colorado","080","Sedgwick","1150","Sedgwick",4119
"G0801170","1920","Colorado","080","Summit","1170","Summit",1718
"G0801190","1920","Colorado","080","Teller","1190","Teller",6670
"G0801210","1920","Colorado","080","Washington","1210","Washington",11150
"G0801230","1920","Colorado","080","Weld","1230","Weld",53087
"G0801250","1920","Colorado","080","Yuma","1250","Yuma",13895
"G0900010","1920","Connecticut","090","Fairfield","0010","Fairfield",315677
"G0900030","1920","Connecticut","090","Hartford","0030","Hartford",329837
"G0900050","1920","Connecticut","090","Litchfield","0050","Litchfield",75539
"G0900070","1920","Connecticut","090","Middlesex","0070","Middlesex",47219
"G0900090","1920","Connecticut","090","New Haven","0090","New Haven",407895
"G0900110","1920","Connecticut","090","New London","0110","New London",103045
"G0900130","1920","Connecticut","090","Tolland","0130","Tolland",27069
"G0900150","1920","Connecticut","090","Windham","0150","Windham",52451
"G1000010","1920","Delaware","100","Kent","0010","Kent",24269
"G1000030","1920","Delaware","100","New Castle","0030","New Castle",131867
"G1000050","1920","Delaware","100","Sussex","0050","Sussex",36479
"G1100010","1920","District Of Columbia","110","District Of Columbia","0010","District Of Columbia",326860
"G1200010","1920","Florida","120","Alachua","0010","Alachua",17114
"G1200030","1920","Florida","120","Baker","0030","Baker",4200
"G1200050","1920","Florida","120","Bay","0050","Bay",8650
"G1200070","1920","Florida","120","Bradford","0070","Bradford",9011
"G1200090","1920","Florida","120","Brevard","0090","Brevard",6006
"G1200110","1920","Florida","120","Broward","0110","Broward",3538
"G1200130","1920","Florida","120","Calhoun","0130","Calhoun",6367
"G1200170","1920","Florida","120","Citrus","0170","Citrus",2695
"G1200190","1920","Florida","120","Clay","0190","Clay",3549
"G1200230","1920","Florida","120","Columbia","0230","Columbia",7291
"G1200250","1920","Florida","120","Dade","0250","Dade",29983
"G1200270","1920","Florida","120","De Soto","0270","De Soto",21079
"G1200310","1920","Florida","120","Duval","0310","Duval",65453
"G1200330","1920","Florida","120","Escambia","0330","Escambia",34137
"G1200350","1920","Florida","120","Flagler","0350","Flagler",1481
