GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A7L001
"G0800470","1920","Colorado","080","Gilpin","0470","Gilpin",1364
"G0800490","1920","Colorado","080","Grand","0490","Grand",2659
"G0800510","1920","Colorado","080","Gunnison","0510","Gunnison",5590
"G0800530","1920","Colorado","080","Hinsdale","0530","Hinsdale",538
"G0800550","1920","Colorado","080","Huerfano","0550","Huerfano",16879
"G0800570","1920","Colorado","080","Jackson","0570","Jackson",1340
"G0800590","1920","Colorado","080","Jefferson","0590","Jefferson",14400
"G0800610","1920","Colorado","080","Kiowa","0610","Kiowa",3755
"G0800630","1920","Colorado","080","Kit Carson","0630","Kit Carson",8915
"G0800650","1920","Colorado","080","Lake","0650","Lake",6630
"G0800670","1920","Colorado","080","La Plata","0670","La Plata",11218
"G0800690","1920","Colorado","080","Larimer","0690","Larimer",27872
"G0800710","1920","Colorado","080","Las Animas","0710","Las Animas",38975
"G0800730","1920","Colorado","080","Lincoln","0730","Lincoln",8273
"G0800750","1920","Colorado","080","Logan","0750","Logan",18427
"G0800770","1920","Colorado","080","Mesa","0770","Mesa",22281
"G0800790","1920","Colorado","080","Mineral","0790","Mineral",779
"G0800810","1920","Colorado","080","Moffat","0810","Moffat",5129
"G0800830","1920","Colorado","080","Montezuma","0830","Montezuma",6260
"G0800850","1920","Colorado","080","Montrose","0850","Montrose",11852
"G0800870","1920","Colorado","080","Morgan","0870","Morgan",16124
"G0800890","1920","Colorado","080","Otero","0890","Otero",22623
"G0800910","1920","Colorado","080","Ouray","0910","Ouray",2620
"G0800930","1920","Colorado","080","Park","0930","Park",1977
"G0800950","1920","Colorado","080","Phillips","0950","Phillips",5499
"G0800970","1920","Colorado","080","Pitkin","0970","Pitkin",2707
"G0800990","1920","Colorado","080","Prowers","0990","Prowers",13845
"G0801010","1920","Colorado","080","Pueblo","1010","Pueblo",57638
"G0801030","1920","Colorado","080","Rio Blanco","1030","Rio Blanco",3135
"G0801050","1920","Colorado","080","Rio Grande","1050","Rio Grande",7855
"G0801070","1920","Colorado","080","Routt","1070","Routt",8948
"G0801090","1920","Colorado","080","Saguache","1090","Saguache",4638
"G0801110","1920","Colorado","080","San Juan","1110","San Juan",1700
"G0801130","1920","Colorado","080","San Miguel","1130","San Miguel",5281
"G0801150","1920","Colorado","080","Sedgwick","1150","Sedgwick",4207
"G0801170","1920","Colorado","080","Summit","1170","Summit",1724
"G0801190","1920","Colorado","080","Teller","1190","Teller",6696
"G0801210","1920","Colorado","080","Washington","1210","Washington",11208
"G0801230","1920","Colorado","080","Weld","1230","Weld",54059
"G0801250","1920","Colorado","080","Yuma","1250","Yuma",13897
"G0900010","1920","Connecticut","090","Fairfield","0010","Fairfield",320936
"G0900030","1920","Connecticut","090","Hartford","0030","Hartford",336027
"G0900050","1920","Connecticut","090","Litchfield","0050","Litchfield",76262
"G0900070","1920","Connecticut","090","Middlesex","0070","Middlesex",47550
"G0900090","1920","Connecticut","090","New Haven","0090","New Haven",415214
"G0900110","1920","Connecticut","090","New London","0110","New London",104611
"G0900130","1920","Connecticut","090","Tolland","0130","Tolland",27216
"G0900150","1920","Connecticut","090","Windham","0150","Windham",52815
"G1000010","1920","Delaware","100","Kent","0010","Kent",31023
"G1000030","1920","Delaware","100","New Castle","0030","New Castle",148239
"G1000050","1920","Delaware","100","Sussex","0050","Sussex",43741
"G1100010","1920","District Of Columbia","110","District Of Columbia","0010","District Of Columbia",437571
"G1200010","1920","Florida","120","Alachua","0010","Alachua",31689
"G1200030","1920","Florida","120","Baker","0030","Baker",5622
"G1200050","1920","Florida","120","Bay","0050","Bay",11407
"G1200070","1920","Florida","120","Bradford","0070","Bradford",12503
