GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AUM001,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012
"G0100570","1890","Alabama","010","Fayette","0570","Fayette",12823,1682,1262,1077,0,0,0,0,0,0,0,0,0
"G0100590","1890","Alabama","010","Franklin","0590","Franklin",10681,1160,1076,1313,0,0,0,1,0,0,0,0,0
"G0100610","1890","Alabama","010","Geneva","0610","Geneva",10690,1026,513,227,0,0,0,0,0,0,0,0,0
"G0100630","1890","Alabama","010","Greene","0630","Greene",22007,18771,18165,14541,0,0,0,0,0,0,1,1,0
"G0100650","1890","Alabama","010","Hale","0650","Hale",27501,22321,21650,16990,0,0,0,0,0,0,0,0,0
"G0100670","1890","Alabama","010","Henry","0670","Henry",24847,8809,6767,4657,0,0,0,0,0,0,0,0,0
"G0100710","1890","Alabama","010","Jackson","0710","Jackson",28026,3840,4033,3060,0,0,0,0,0,0,7,7,0
"G0100730","1890","Alabama","010","Jefferson","0730","Jefferson",88501,32142,5053,2506,16,0,0,1,0,0,8,0,0
"G0100750","1890","Alabama","010","Lamar","0750","Lamar",14187,2748,2173,1563,0,0,0,0,0,0,0,2,0
"G0100770","1890","Alabama","010","Lauderdale","0770","Lauderdale",23739,7091,6860,5170,1,0,0,0,0,0,0,2,0
"G0100790","1890","Alabama","010","Lawrence","0790","Lawrence",20725,8171,8750,6562,0,0,0,0,0,0,1,0,0
"G0100810","1890","Alabama","010","Lee","0810","Lee",28694,16497,15041,11597,0,0,0,0,0,0,0,4,2
"G0100830","1890","Alabama","010","Limestone","0830","Limestone",21201,9002,9963,7253,0,0,0,0,0,0,1,0,0
"G0100850","1890","Alabama","010","Lowndes","0850","Lowndes",31550,26985,25528,20633,0,0,0,0,0,0,2,3,0
"G0100870","1890","Alabama","010","Macon","0870","Macon",18439,14188,12784,12620,0,0,0,0,0,0,0,0,4
"G0100890","1890","Alabama","010","Madison","0890","Madison",38119,18769,19034,15740,0,0,0,0,0,0,5,0,0
"G0100910","1890","Alabama","010","Marengo","0910","Marengo",33095,25149,23612,20058,0,0,0,0,0,0,0,1,3
"G0100930","1890","Alabama","010","Marion","0930","Marion",11347,578,520,224,0,0,0,0,0,0,0,3,0
"G0100950","1890","Alabama","010","Marshall","0950","Marshall",18935,1279,1496,1367,0,0,0,0,0,0,4,5,0
"G0100970","1890","Alabama","010","Mobile","0970","Mobile",51587,22804,21443,21107,12,4,0,0,0,0,402,19,9
"G0100990","1890","Alabama","010","Monroe","0990","Monroe",18990,10608,9234,7572,0,0,0,0,0,0,3,77,17
"G0101010","1890","Alabama","010","Montgomery","1010","Montgomery",56172,41485,38899,31285,4,0,0,0,0,0,1,0,0
"G0101030","1890","Alabama","010","Morgan","1030","Morgan",24089,6073,4670,3358,3,0,0,0,0,0,0,0,0
"G0101050","1890","Alabama","010","Perry","1050","Perry",29332,22516,23591,17833,0,0,0,0,0,0,4,0,0
"G0101070","1890","Alabama","010","Pickens","1070","Pickens",22470,13185,12347,9638,1,0,0,0,0,0,0,0,0
"G0101090","1890","Alabama","010","Pike","1090","Pike",24423,9070,6272,4625,0,0,0,0,0,0,4,0,0
"G0101110","1890","Alabama","010","Randolph","1110","Randolph",17219,3305,3420,1641,0,0,0,0,0,0,0,0,0
"G0101130","1890","Alabama","010","Russell","1130","Russell",24093,18279,18655,15690,0,0,0,0,0,0,0,0,0
"G0101150","1890","Alabama","010","St Clair","1150","St Clair",17353,3050,2834,2065,0,0,0,0,0,0,0,7,0
"G0101170","1890","Alabama","010","Shelby","1170","Shelby",20886,6596,4983,3378,0,0,0,0,0,0,1,0,0
"G0101190","1890","Alabama","010","Sumter","1190","Sumter",29574,23631,22277,18907,0,0,0,0,0,0,0,0,0
"G0101210","1890","Alabama","010","Talladega","1210","Talladega",29346,13944,12504,9595,3,0,0,0,0,0,0,0,0
"G0101230","1890","Alabama","010","Tallapoosa","1230","Tallapoosa",25460,8508,7293,4190,0,0,0,0,0,0,1,0,1
"G0101250","1890","Alabama","010","Tuscaloosa","1250","Tuscaloosa",30352,12091,9741,8294,0,0,0,0,0,0,0,0,0
"G0101270","1890","Alabama","010","Walker","1270","Walker",16078,1656,501,308,0,0,0,0,0,0,0,0,0
"G0101290","1890","Alabama","010","Washington","1290","Washington",7935,3249,1729,1787,0,0,0,0,0,0,0,2,0
"G0101310","1890","Alabama","010","Wilcox","1310","Wilcox",30816,24022,25117,21610,0,0,0,0,0,0,0,0,0
"G0101330","1890","Alabama","010","Winston","1330","Winston",6552,36,17,21,0,0,0,0,0,0,0,0,0
"G0250055","1890","Alaska Territory","025","Northern District","0055","Northern District",7134,97,,,5,,,,,,6439,9946,
"G0250095","1890","Alaska Territory","025","Southern District","0095","Southern District",24918,15,,,2283,,,,,,18915,23050,
"G0450015","1890","Arizona Territory","045","Apache","0015","Apache",4281,329,4,0,16,62,0,0,0,0,5,1819,0
"G0450035","1890","Arizona Territory","045","Cochise","0035","Cochise",6938,22,0,0,173,0,0,0,0,0,1,0,0
"G0450075","1890","Arizona Territory","045","Gila","0075","Gila",2021,276,0,0,40,0,0,0,0,0,0,0,0
"G0450095","1890","Arizona Territory","045","Graham","0095","Graham",5670,505,0,0,86,0,0,0,0,0,3,0,0
"G0450135","1890","Arizona Territory","045","Maricopa","0135","Maricopa",10986,77,9,0,234,164,0,0,0,0,1,486,0
"G0450155","1890","Arizona Territory","045","Mohave","0155","Mohave",1444,2,13,4,28,15,0,0,0,0,9,286,0
"G0450195","1890","Arizona Territory","045","Pima","0195","Pima",12673,57,76,12,299,1153,0,1,2,0,904,166,6
"G0450215","1890","Arizona Territory","045","Pinal","0215","Pinal",4251,16,22,0,64,64,0,0,0,0,138,28,0
"G0450255","1890","Arizona Territory","045","Yavapai","0255","Yavapai",8685,66,31,8,169,140,12,0,0,0,27,54,6
"G0450275","1890","Arizona Territory","045","Yuma","0275","Yuma",2671,7,0,2,61,32,8,0,0,0,424,654,19
"G0500010","1890","Arkansas","050","Arkansas","0010","Arkansas",11432,3532,3067,4212,0,0,74,0,0,0,1,0,0
"G0500030","1890","Arkansas","050","Ashley","0030","Ashley",13295,6868,5130,3764,0,0,0,0,0,0,0,0,0
"G0500050","1890","Arkansas","050","Baxter","0050","Baxter",8527,18,45,0,0,0,0,0,0,0,0,0,0
"G0500070","1890","Arkansas","050","Benton","0070","Benton",27716,92,128,182,0,0,0,0,0,0,2,33,9
"G0500090","1890","Arkansas","050","Boone","0090","Boone",15816,91,88,74,0,0,0,0,0,0,2,0,0
"G0500110","1890","Arkansas","050","Bradley","0110","Bradley",7972,2864,2210,2529,0,0,0,0,0,0,0,0,0
"G0500130","1890","Arkansas","050","Calhoun","0130","Calhoun",7267,2720,2088,1100,0,0,0,0,0,0,0,0,0
"G0500150","1890","Arkansas","050","Carroll","0150","Carroll",17288,82,60,37,0,0,0,0,0,0,1,5,0
"G0500170","1890","Arkansas","050","Chicot","0170","Chicot",11419,10023,8495,5393,4,59,5,0,0,0,0,0,0
"G0500190","1890","Arkansas","050","Clark","0190","Clark",20997,6785,5203,3492,0,0,0,0,0,0,11,1,0
"G0500210","1890","Arkansas","050","Clay","0210","Clay",12200,43,22,0,0,0,0,0,0,0,1,0,0
"G0500230","1890","Arkansas","050","Cleburne","0230","Cleburne",7884,49,0,0,0,0,0,0,0,0,3,0,0
"G0500250","1890","Arkansas","050","Cleveland","0250","Cleveland",11362,3327,2329,0,0,0,0,0,0,0,1,0,0
"G0500270","1890","Arkansas","050","Columbia","0270","Columbia",19893,7312,5503,3718,0,0,0,0,0,0,1,0,0
"G0500290","1890","Arkansas","050","Conway","0290","Conway",19459,7671,3206,630,0,0,0,0,0,0,0,3,0
"G0500310","1890","Arkansas","050","Craighead","0310","Craighead",12025,519,261,253,0,0,0,0,0,0,0,0,0
"G0500330","1890","Arkansas","050","Crawford","0330","Crawford",21714,2296,1392,988,0,0,0,0,0,0,8,16,8
"G0500350","1890","Arkansas","050","Crittenden","0350","Crittenden",13940,11890,7516,2575,0,0,0,0,0,0,0,0,3
"G0500370","1890","Arkansas","050","Cross","0370","Cross",7693,2890,1789,1289,0,0,0,0,0,0,1,0,0
"G0500390","1890","Arkansas","050","Dallas","0390","Dallas",9296,3265,2206,1751,0,0,0,0,0,0,5,0,0
"G0500410","1890","Arkansas","050","Desha","0410","Desha",10324,8198,6514,3934,2,0,5,0,0,0,5,7,1
"G0500430","1890","Arkansas","050","Drew","0430","Drew",17352,9865,5759,3854,0,0,0,0,0,0,0,0,0
"G0500450","1890","Arkansas","050","Faulkner","0450","Faulkner",18342,3348,1418,0,0,0,0,0,0,0,0,0,0
"G0500470","1890","Arkansas","050","Franklin","0470","Franklin",19934,677,493,651,0,0,0,0,0,0,1,3,0
"G0500490","1890","Arkansas","050","Fulton","0490","Fulton",10984,85,36,85,0,0,0,0,0,0,1,0,0
"G0500510","1890","Arkansas","050","Garland","0510","Garland",15328,2774,1562,0,5,4,0,0,0,0,2,0,0
"G0500530","1890","Arkansas","050","Grant","0530","Grant",7786,1035,556,339,0,0,0,0,0,0,1,0,0
"G0500550","1890","Arkansas","050","Greene","0550","Greene",12908,161,75,156,0,0,0,0,0,0,0,0,0
"G0500570","1890","Arkansas","050","Hempstead","0570","Hempstead",22796,10968,9421,6329,0,0,0,0,0,0,9,1,0
"G0500590","1890","Arkansas","050","Hot Spring","0590","Hot Spring",11603,1249,745,650,0,0,0,0,0,0,0,0,1
"G0500610","1890","Arkansas","050","Howard","0610","Howard",13789,3054,2508,0,0,0,0,0,0,0,1,0,0
"G0500630","1890","Arkansas","050","Independence","0630","Independence",21961,1568,1382,908,1,0,0,0,0,0,11,1,0
"G0500650","1890","Arkansas","050","Izard","0650","Izard",13038,262,222,182,0,0,0,0,0,0,0,0,0
"G0500670","1890","Arkansas","050","Jackson","0670","Jackson",15179,4329,2763,1612,1,1,0,0,0,0,0,0,0
"G0500690","1890","Arkansas","050","Jefferson","0690","Jefferson",40881,29908,17011,10167,13,43,10,0,0,0,9,1,0
"G0500710","1890","Arkansas","050","Johnson","0710","Johnson",16758,631,491,613,0,0,0,0,0,0,2,1,0
"G0500730","1890","Arkansas","050","Lafayette","0730","Lafayette",7700,4543,3614,5158,0,0,0,0,0,0,0,0,0
"G0500750","1890","Arkansas","050","Lawrence","0750","Lawrence",12984,833,467,246,0,0,0,0,0,0,0,0,0
"G0500770","1890","Arkansas","050","Lee","0770","Lee",18886,14187,9150,0,1,0,0,0,0,0,7,0,0
"G0500790","1890","Arkansas","050","Lincoln","0790","Lincoln",10255,6469,5040,0,1,0,0,0,0,0,1,3,0
"G0500810","1890","Arkansas","050","Little River","0810","Little River",8903,4001,3335,1878,0,0,0,0,0,0,0,5,0
"G0500830","1890","Arkansas","050","Logan","0830","Logan",20774,1124,984,0,0,0,0,0,0,0,4,0,0
"G0500850","1890","Arkansas","050","Lonoke","0850","Lonoke",19263,7981,4003,0,0,0,0,0,0,0,4,0,0
"G0500870","1890","Arkansas","050","Madison","0870","Madison",17402,58,124,150,0,0,0,0,0,0,0,0,0
"G0500890","1890","Arkansas","050","Marion","0890","Marion",10390,32,43,19,0,0,0,0,0,0,0,0,0
"G0500910","1890","Arkansas","050","Miller","0910","Miller",14714,6565,4595,0,2,0,0,0,0,0,0,0,0
"G0500930","1890","Arkansas","050","Mississippi","0930","Mississippi",11635,5884,2654,971,11,5,0,0,0,0,5,2,0
"G0500950","1890","Arkansas","050","Monroe","0950","Monroe",15336,9203,5209,3200,9,0,0,0,0,0,0,0,1
"G0500970","1890","Arkansas","050","Montgomery","0970","Montgomery",7923,302,258,120,0,0,0,0,0,0,0,0,0
"G0500990","1890","Arkansas","050","Nevada","0990","Nevada",14832,4304,3722,0,0,0,0,0,0,0,2,1,0
"G0501010","1890","Arkansas","050","Newton","1010","Newton",9950,6,5,9,1,0,0,0,0,0,0,0,0
"G0501030","1890","Arkansas","050","Ouachita","1030","Ouachita",17033,8954,6253,5458,1,0,0,0,0,0,2,1,6
"G0501050","1890","Arkansas","050","Perry","1050","Perry",5538,941,800,290,0,0,0,0,0,0,0,0,0
"G0501070","1890","Arkansas","050","Phillips","1070","Phillips",25341,19640,15809,10501,6,9,0,0,0,0,0,0,0
"G0501090","1890","Arkansas","050","Pike","1090","Pike",8537,484,392,421,0,0,0,0,0,0,0,2,0
"G0501110","1890","Arkansas","050","Poinsett","1110","Poinsett",4272,546,290,225,0,0,0,0,0,0,0,0,1
"G0501130","1890","Arkansas","050","Polk","1130","Polk",9283,46,61,45,0,0,0,0,0,0,0,4,8
"G0501150","1890","Arkansas","050","Pope","1150","Pope",19458,1621,909,575,0,0,0,0,0,0,0,0,0
"G0501170","1890","Arkansas","050","Prairie","1170","Prairie",11374,4363,2734,1811,0,0,0,0,0,0,0,10,0
"G0501190","1890","Arkansas","050","Pulaski","1190","Pulaski",47329,21935,14921,13708,18,12,4,0,0,0,47,16,6
"G0501210","1890","Arkansas","050","Randolph","1210","Randolph",14485,595,627,357,0,0,0,0,0,0,0,0,0
"G0501230","1890","Arkansas","050","St Francis","1230","St Francis",13543,8000,3467,2446,0,0,0,0,0,0,2,1,0
"G0501250","1890","Arkansas","050","Saline","1250","Saline",11311,1484,1366,185,0,0,0,0,0,0,0,1,0
"G0501270","1890","Arkansas","050","Scott","1270","Scott",12635,31,83,121,0,0,0,0,0,0,3,6,0
"G0501290","1890","Arkansas","050","Searcy","1290","Searcy",9664,28,16,30,0,0,0,0,0,0,6,0,0
"G0501310","1890","Arkansas","050","Sebastian","1310","Sebastian",33200,3740,1541,1354,15,0,0,0,0,0,47,49,41
"G0501330","1890","Arkansas","050","Sevier","1330","Sevier",10072,1453,1096,968,0,0,0,0,0,0,3,8,1
"G0501350","1890","Arkansas","050","Sharp","1350","Sharp",10418,177,176,114,0,0,0,0,0,0,1,0,0
"G0501370","1890","Arkansas","050","Stone","1370","Stone",7043,113,99,0,0,0,0,0,0,0,0,6,0
"G0501390","1890","Arkansas","050","Union","1390","Union",14977,6372,6434,4896,0,0,0,0,0,0,0,0,0
"G0501410","1890","Arkansas","050","Van Buren","1410","Van Buren",8567,162,118,119,0,0,0,0,0,0,0,0,0
"G0501430","1890","Arkansas","050","Washington","1430","Washington",32024,1010,944,674,0,0,0,0,0,0,0,6,2
"G0501450","1890","Arkansas","050","White","1450","White",22946,2563,2032,1200,0,0,0,0,0,0,4,1,1
"G0501470","1890","Arkansas","050","Woodruff","1470","Woodruff",14009,7556,4483,2686,1,0,0,0,0,0,0,0,0
"G0501490","1890","Arkansas","050","Yell","1490","Yell",18015,1362,1118,767,0,0,0,0,0,0,1,1,0
"G0600010","1890","California","060","Alameda","0010","Alameda",93864,785,686,81,3311,4386,1939,184,16,0,25,103,111
"G0600030","1890","California","060","Alpine","0030","Alpine",667,3,1,1,5,17,8,0,0,0,224,0,0
"G0600050","1890","California","060","Amador","0050","Amador",10320,26,73,72,324,1115,1627,3,0,0,58,272,0
"G0600070","1890","California","060","Butte","0070","Butte",17939,223,136,84,1530,3793,2082,3,0,0,319,522,40
"G0600090","1890","California","060","Calaveras","0090","Calaveras",8882,77,56,31,326,1037,1441,3,0,0,77,169,18
"G0600110","1890","California","060","Colusa","0110","Colusa",14640,139,97,81,924,970,271,5,0,0,277,353,424
"G0600130","1890","California","060","Contra Costa","0130","Contra Costa",13515,54,33,21,465,732,160,11,1,0,3,47,9
"G0600150","1890","California","060","Del Norte","0150","Del Norte",2592,5,8,12,7,434,217,2,0,0,376,411,784
"G0600170","1890","California","060","El Dorado","0170","El Dorado",9232,183,132,132,518,1484,1560,2,5,22,136,193,6
"G0600190","1890","California","060","Fresno","0190","Fresno",32026,457,40,15,2736,753,427,12,0,0,347,794,2635
"G0600230","1890","California","060","Humboldt","0230","Humboldt",23469,48,23,0,19,241,39,1,0,0,1379,1935,76
"G0600270","1890","California","060","Inyo","0270","Inyo",3544,12,4,8,89,90,29,0,0,0,850,637,311
"G0600290","1890","California","060","Kern","0290","Kern",9808,130,4,4,1124,702,143,3,0,0,337,332,585
"G0600315","1890","California","060","Klamath","0315","Klamath",0,0,0,2,0,0,542,0,0,0,0,0,61
"G0600330","1890","California","060","Lake","0330","Lake",7101,41,14,2,210,469,119,0,0,0,556,774,23
"G0600350","1890","California","060","Lassen","0350","Lassen",4239,6,2,0,41,50,17,0,0,0,335,330,1
"G0600370","1890","California","060","Los Angeles","0370","Los Angeles",101454,1817,188,134,4424,1169,234,36,1,2,144,316,219
"G0600410","1890","California","060","Marin","0410","Marin",13072,164,37,22,915,1327,361,24,7,0,31,162,126
"G0600430","1890","California","060","Mariposa","0430","Mariposa",3787,69,63,90,181,697,1084,0,0,0,152,184,34
"G0600450","1890","California","060","Mendocino","0450","Mendocino",17612,35,4,9,359,346,129,1,0,0,581,1265,542
"G0600470","1890","California","060","Merced","0470","Merced",8085,47,59,36,746,575,186,0,0,0,30,7,37
"G0600490","1890","California","060","Modoc","0490","Modoc",4986,12,23,0,22,17,0,0,0,0,499,404,0
"G0600510","1890","California","060","Mono","0510","Mono",2002,3,19,0,146,363,42,0,0,0,368,35,2
"G0600530","1890","California","060","Monterey","0530","Monterey",18637,90,60,16,1667,372,230,1,0,0,58,222,201
"G0600550","1890","California","060","Napa","0550","Napa",16411,89,104,109,875,905,263,6,2,0,15,64,66
"G0600570","1890","California","060","Nevada","0570","Nevada",17369,110,150,165,1053,3003,2627,5,2,0,159,101,8
"G0600590","1890","California","060","Orange","0590","Orange",13589,15,0,0,162,0,0,0,0,0,5,0,0
"G0600610","1890","California","060","Placer","0610","Placer",15101,36,69,95,1429,2190,2410,6,0,0,73,91,2
"G0600630","1890","California","060","Plumas","0630","Plumas",4933,7,9,2,307,871,911,0,1,0,374,538,5
"G0600670","1890","California","060","Sacramento","0670","Sacramento",40339,513,560,475,4371,4892,3595,51,1,1,40,14,34
"G0600690","1890","California","060","San Benito","0690","San Benito",6412,63,6,0,85,242,0,0,0,0,41,81,0
"G0600710","1890","California","060","San Bernardino","0710","San Bernardino",25497,313,17,8,682,123,16,2,0,0,399,658,0
"G0600730","1890","California","060","San Diego","0730","San Diego",34987,376,13,15,909,229,70,13,0,0,478,1702,28
"G0600750","1890","California","060","San Francisco","0750","San Francisco",298997,1847,1628,1330,25833,21745,12022,590,45,8,31,45,54
"G0600770","1890","California","060","San Joaquin","0770","San Joaquin",28629,353,328,223,1676,1997,1629,10,0,0,2,34,5
"G0600790","1890","California","060","San Luis Obispo","0790","San Luis Obispo",16072,457,23,9,386,183,59,2,0,0,47,153,137
"G0600810","1890","California","060","San Mateo","0810","San Mateo",10087,52,34,10,448,596,519,9,0,0,6,8,8
"G0600830","1890","California","060","Santa Barbara","0830","Santa Barbara",15754,26,63,38,581,227,109,5,0,0,73,88,153
"G0600850","1890","California","060","Santa Clara","0850","Santa Clara",48005,989,161,173,2723,2695,1525,27,0,0,19,73,12
"G0600870","1890","California","060","Santa Cruz","0870","Santa Cruz",19270,62,63,53,785,523,156,19,0,0,10,131,2
"G0600890","1890","California","060","Shasta","0890","Shasta",12133,221,54,44,342,1334,574,2,1,0,693,1037,26
"G0600910","1890","California","060","Sierra","0910","Sierra",5051,12,22,28,488,1252,810,0,0,0,10,12,0
"G0600930","1890","California","060","Siskiyou","0930","Siskiyou",12163,117,88,29,1151,1568,1440,0,0,0,710,493,50
"G0600950","1890","California","060","Solano","0950","Solano",20946,97,72,78,1522,993,920,26,2,0,11,21,3
"G0600970","1890","California","060","Sonoma","0970","Sonoma",32721,45,60,77,1145,904,473,74,0,0,297,339,85
"G0600990","1890","California","060","Stanislaus","0990","Stanislaus",10040,61,20,4,421,518,306,0,0,0,12,27,0
"G0601010","1890","California","060","Sutter","1010","Sutter",5469,47,35,31,327,266,208,0,0,0,1,13,0
"G0601030","1890","California","060","Tehama","1030","Tehama",9916,252,142,73,892,774,294,0,0,0,101,167,54
"G0601050","1890","California","060","Trinity","1050","Trinity",3719,27,7,23,554,1951,1099,0,0,0,193,261,140
"G0601070","1890","California","060","Tulare","1070","Tulare",24574,207,80,39,954,324,99,2,2,0,178,118,4
"G0601090","1890","California","060","Tuolumne","1090","Tuolumne",6082,52,84,67,253,805,1524,0,0,0,218,347,3
"G0601110","1890","California","060","Ventura","1110","Ventura",10071,110,15,0,451,129,0,1,0,0,91,80,0
"G0601130","1890","California","060","Yolo","1130","Yolo",12684,122,102,69,604,608,395,5,0,0,41,47,117
"G0601150","1890","California","060","Yuba","1150","Yuba",9636,218,247,152,974,2146,2337,1,0,0,27,67,0
"G0800050","1890","Colorado","080","Arapahoe","0050","Arapahoe",132135,3254,1083,257,980,238,4,9,0,0,47,1,2
"G0800070","1890","Colorado","080","Archuleta","0070","Archuleta",826,3,0,0,0,0,0,0,0,0,0,0,0
"G0800090","1890","Colorado","080","Baca","0090","Baca",1479,0,0,0,0,0,0,0,0,0,0,0,0
"G0800110","1890","Colorado","080","Bent","0110","Bent",1313,11,42,11,1,2,0,0,0,0,3,17,11
"G0800130","1890","Colorado","080","Boulder","0130","Boulder",14082,69,49,1,11,18,0,0,0,0,1,0,0
"G0800150","1890","Colorado","080","Chaffee","0150","Chaffee",6612,66,70,0,14,6,0,0,0,0,0,1,0
"G0800170","1890","Colorado","080","Cheyenne","0170","Cheyenne",534,2,0,0,0,0,0,0,0,0,0,0,0
"G0800190","1890","Colorado","080","Clear Creek","0190","Clear Creek",7184,86,94,22,7,17,2,0,0,0,0,0,0
"G0800210","1890","Colorado","080","Conejos","0210","Conejos",7193,30,17,0,0,9,0,0,0,0,10,21,34
"G0800230","1890","Colorado","080","Costilla","0230","Costilla",3491,4,7,1,0,0,0,0,0,0,4,20,17
"G0800270","1890","Colorado","080","Custer","0270","Custer",2970,6,40,0,0,9,0,0,0,0,0,6,0
"G0800290","1890","Colorado","080","Delta","0290","Delta",2534,2,0,0,0,0,0,0,0,0,0,0,0
"G0800330","1890","Colorado","080","Dolores","0330","Dolores",1498,14,0,0,0,0,0,0,0,0,1,0,0
"G0800350","1890","Colorado","080","Douglas","0350","Douglas",3006,20,17,2,1,0,0,0,0,0,0,1,1
"G0800370","1890","Colorado","080","Eagle","0370","Eagle",3725,1,0,0,1,0,0,0,0,0,0,0,0
"G0800390","1890","Colorado","080","Elbert","0390","Elbert",1856,24,7,0,0,1,0,0,0,0,0,0,0
"G0800410","1890","Colorado","080","El Paso","0410","El Paso",21239,571,159,1,69,16,0,1,0,0,1,3,0
"G0800430","1890","Colorado","080","Fremont","0430","Fremont",9156,85,72,1,6,4,0,0,0,0,3,0,0
"G0800450","1890","Colorado","080","Garfield","0450","Garfield",4478,48,0,0,0,0,0,0,0,0,0,0,0
"G0800470","1890","Colorado","080","Gilpin","0470","Gilpin",5867,54,71,60,49,124,1,0,0,0,1,1,0
"G0800490","1890","Colorado","080","Grand","0490","Grand",604,2,4,0,0,0,0,0,0,0,0,0,0
"G0800495","1890","Colorado","080","Greenwood","0495","Greenwood",0,0,0,31,0,0,0,0,0,0,0,0,0
"G0800510","1890","Colorado","080","Gunnison","0510","Gunnison",4359,48,46,0,4,0,0,0,0,0,0,0,0
"G0800530","1890","Colorado","080","Hinsdale","0530","Hinsdale",862,8,16,0,0,3,0,0,0,0,1,0,0
"G0800550","1890","Colorado","080","Huerfano","0550","Huerfano",6882,40,0,2,3,0,0,0,0,0,4,10,31
"G0800590","1890","Colorado","080","Jefferson","0590","Jefferson",8450,19,34,20,9,2,0,0,0,0,0,0,0
"G0800610","1890","Colorado","080","Kiowa","0610","Kiowa",1243,15,0,0,0,0,0,0,0,0,0,0,0
"G0800630","1890","Colorado","080","Kit Carson","0630","Kit Carson",2472,0,0,0,0,0,0,0,0,0,0,0,0
"G0800650","1890","Colorado","080","Lake","0650","Lake",14663,209,298,1,0,0,0,0,0,0,0,7,0
"G0800670","1890","Colorado","080","La Plata","0670","La Plata",5509,34,1,0,19,0,0,0,0,0,1,0,0
"G0800690","1890","Colorado","080","Larimer","0690","Larimer",9712,18,43,0,3,3,0,0,0,0,1,2,10
"G0800710","1890","Colorado","080","Las Animas","0710","Las Animas",17208,227,53,13,15,6,0,0,0,0,12,48,72
"G0800730","1890","Colorado","080","Lincoln","0730","Lincoln",689,0,0,0,0,0,0,0,0,0,0,0,0
