GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A30001,A30002,A30003,A30004,A5A001
"G0600870","1910","California","060","Santa Cruz","0870","Santa Cruz",13317,11842,52,31,25159
"G0600890","1910","California","060","Shasta","0890","Shasta",11151,6722,92,67,17873
"G0600910","1910","California","060","Sierra","0910","Sierra",2532,1378,0,0,3910
"G0600930","1910","California","060","Siskiyou","0930","Siskiyou",10965,6448,20,9,17413
"G0600950","1910","California","060","Solano","0950","Solano",14734,10698,140,110,25432
"G0600970","1910","California","060","Sonoma","0970","Sonoma",25190,21977,25,18,47167
"G0600990","1910","California","060","Stanislaus","0990","Stanislaus",12508,9621,53,36,22129
"G0601010","1910","California","060","Sutter","1010","Sutter",3434,2578,4,6,6012
"G0601030","1910","California","060","Tehama","1030","Tehama",6111,4698,40,51,10809
"G0601050","1910","California","060","Trinity","1050","Trinity",1898,1005,5,3,2903
"G0601070","1910","California","060","Tulare","1070","Tulare",18789,15370,118,72,34159
"G0601090","1910","California","060","Tuolumne","1090","Tuolumne",5906,3792,13,1,9698
"G0601110","1910","California","060","Ventura","1110","Ventura",9499,7633,32,32,17132
"G0601130","1910","California","060","Yolo","1130","Yolo",7061,5557,188,92,12618
"G0601150","1910","California","060","Yuba","1150","Yuba",5479,3430,103,100,8909
"G0800010","1910","Colorado","080","Adams","0010","Adams",5150,3672,28,21,8822
"G0800050","1910","Colorado","080","Arapahoe","0050","Arapahoe",5695,4434,60,71,10129
"G0800070","1910","Colorado","080","Archuleta","0070","Archuleta",1883,1412,3,4,3295
"G0800090","1910","Colorado","080","Baca","0090","Baca",1530,984,1,1,2514
"G0800110","1910","Colorado","080","Bent","0110","Bent",2879,2057,32,19,4936
"G0800130","1910","Colorado","080","Boulder","0130","Boulder",15507,14584,84,102,30091
"G0800150","1910","Colorado","080","Chaffee","0150","Chaffee",4132,3427,46,14,7559
"G0800170","1910","Colorado","080","Cheyenne","0170","Cheyenne",2086,1574,23,4,3660
"G0800190","1910","Colorado","080","Clear Creek","0190","Clear Creek",2752,2200,24,19,4952
"G0800210","1910","Colorado","080","Conejos","0210","Conejos",5938,5260,28,21,11198
"G0800230","1910","Colorado","080","Costilla","0230","Costilla",2930,2542,12,10,5472
"G0800270","1910","Colorado","080","Custer","0270","Custer",1097,846,1,0,1943
"G0800290","1910","Colorado","080","Delta","0290","Delta",7198,6458,4,5,13656
"G0800310","1910","Colorado","080","Denver","0310","Denver",103959,103112,2652,2774,207071
"G0800330","1910","Colorado","080","Dolores","0330","Dolores",388,240,1,0,628
"G0800350","1910","Colorado","080","Douglas","0350","Douglas",1848,1336,5,3,3184
"G0800370","1910","Colorado","080","Eagle","0370","Eagle",1789,1178,1,0,2967
"G0800390","1910","Colorado","080","Elbert","0390","Elbert",2929,2402,0,0,5331
"G0800410","1910","Colorado","080","El Paso","0410","El Paso",21131,20797,630,700,41928
"G0800430","1910","Colorado","080","Fremont","0430","Fremont",9807,8004,212,127,17811
"G0800450","1910","Colorado","080","Garfield","0450","Garfield",5727,4328,28,36,10055
"G0800470","1910","Colorado","080","Gilpin","0470","Gilpin",2283,1824,9,9,4107
"G0800490","1910","Colorado","080","Grand","0490","Grand",1139,714,3,6,1853
"G0800510","1910","Colorado","080","Gunnison","0510","Gunnison",3636,2217,31,13,5853
"G0800530","1910","Colorado","080","Hinsdale","0530","Hinsdale",382,258,2,4,640
"G0800550","1910","Colorado","080","Huerfano","0550","Huerfano",7274,5662,185,138,12936
"G0800570","1910","Colorado","080","Jackson","0570","Jackson",629,384,0,0,1013
"G0800590","1910","Colorado","080","Jefferson","0590","Jefferson",7706,6307,93,41,14013
"G0800610","1910","Colorado","080","Kiowa","0610","Kiowa",1634,1264,1,0,2898
"G0800630","1910","Colorado","080","Kit Carson","0630","Kit Carson",4116,3362,5,0,7478
"G0800650","1910","Colorado","080","Lake","0650","Lake",6024,4503,36,35,10527
"G0800670","1910","Colorado","080","La Plata","0670","La Plata",5742,4648,37,26,10390
"G0800690","1910","Colorado","080","Larimer","0690","Larimer",13082,12105,15,18,25187
"G0800710","1910","Colorado","080","Las Animas","0710","Las Animas",18629,14429,211,168,33058
"G0800730","1910","Colorado","080","Lincoln","0730","Lincoln",3340,2569,6,2,5909
"G0800750","1910","Colorado","080","Logan","0750","Logan",5288,4159,20,3,9447
"G0800770","1910","Colorado","080","Mesa","0770","Mesa",11813,9996,63,67,21809
"G0800790","1910","Colorado","080","Mineral","0790","Mineral",716,521,1,1,1237
"G0800830","1910","Colorado","080","Montezuma","0830","Montezuma",2503,2069,2,1,4572
"G0800850","1910","Colorado","080","Montrose","0850","Montrose",5673,4574,5,4,10247
"G0800870","1910","Colorado","080","Morgan","0870","Morgan",5095,4397,8,9,9492
"G0800890","1910","Colorado","080","Otero","0890","Otero",10704,9141,138,109,19845
"G0800910","1910","Colorado","080","Ouray","0910","Ouray",2173,1307,13,9,3480
"G0800930","1910","Colorado","080","Park","0930","Park",1528,955,1,0,2483
"G0800950","1910","Colorado","080","Phillips","0950","Phillips",1758,1420,0,1,3178
"G0800970","1910","Colorado","080","Pitkin","0970","Pitkin",2489,2059,9,6,4548
"G0800990","1910","Colorado","080","Prowers","0990","Prowers",5220,4216,23,15,9436
"G0801010","1910","Colorado","080","Pueblo","1010","Pueblo",28254,22064,883,806,50318
"G0801030","1910","Colorado","080","Rio Blanco","1030","Rio Blanco",1337,988,3,4,2325
"G0801050","1910","Colorado","080","Rio Grande","1050","Rio Grande",3372,2827,3,2,6199
"G0801070","1910","Colorado","080","Routt","1070","Routt",4344,3125,17,11,7469
"G0801090","1910","Colorado","080","Saguache","1090","Saguache",2329,1826,3,2,4155
"G0801110","1910","Colorado","080","San Juan","1110","San Juan",2099,942,8,8,3041
"G0801130","1910","Colorado","080","San Miguel","1130","San Miguel",3024,1653,9,7,4677
"G0801150","1910","Colorado","080","Sedgwick","1150","Sedgwick",1651,1339,9,6,2990
"G0801170","1910","Colorado","080","Summit","1170","Summit",1238,762,2,0,2000
"G0801190","1910","Colorado","080","Teller","1190","Teller",7792,6407,69,70,14199
"G0801210","1910","Colorado","080","Washington","1210","Washington",3280,2683,16,15,5963
"G0801230","1910","Colorado","080","Weld","1230","Weld",21194,17548,53,39,38742
"G0801250","1910","Colorado","080","Yuma","1250","Yuma",4626,3873,0,0,8499
"G0900010","1910","Connecticut","090","Fairfield","0010","Fairfield",122477,119170,1633,1883,241647
"G0900030","1910","Connecticut","090","Hartford","0030","Hartford",125774,121339,1426,1508,247113
"G0900050","1910","Connecticut","090","Litchfield","0050","Litchfield",35622,33844,375,383,69466
"G0900070","1910","Connecticut","090","Middlesex","0070","Middlesex",22547,22708,157,210,45255
"G0900090","1910","Connecticut","090","New Haven","0090","New Haven",168454,163001,2716,2918,331455
"G0900110","1910","Connecticut","090","New London","0110","New London",44329,45388,667,764,89717
"G0900130","1910","Connecticut","090","Tolland","0130","Tolland",13115,13229,65,44,26344
"G0900150","1910","Connecticut","090","Windham","0150","Windham",23503,24397,190,235,47900
"G1000010","1910","Delaware","100","Kent","0010","Kent",12798,12354,3905,3656,25152
"G1000030","1910","Delaware","100","New Castle","0030","New Castle",54986,52491,8035,7647,107477
"G1000050","1910","Delaware","100","Sussex","0050","Sussex",19603,18870,4071,3867,38473
"G1100010","1910","District Of Columbia","110","District Of Columbia","0010","District Of Columbia",115001,121127,42615,51831,236128
"G1200010","1910","Florida","120","Alachua","0010","Alachua",7914,7298,9838,9254,15212
"G1200030","1910","Florida","120","Baker","0030","Baker",1853,1793,655,504,3646
"G1200070","1910","Florida","120","Bradford","0070","Bradford",5179,4922,2099,1888,10101
"G1200090","1910","Florida","120","Brevard","0090","Brevard",1741,1570,812,587,3311
"G1200130","1910","Florida","120","Calhoun","0130","Calhoun",2785,2540,1168,972,5325
"G1200170","1910","Florida","120","Citrus","0170","Citrus",1634,1462,2142,1493,3096
"G1200190","1910","Florida","120","Clay","0190","Clay",1898,1764,1339,1114,3662
"G1200230","1910","Florida","120","Columbia","0230","Columbia",4663,4614,4347,4064,9277
"G1200250","1910","Florida","120","Dade","0250","Dade",4237,3497,2285,1909,7734
"G1200270","1910","Florida","120","De Soto","0270","De Soto",6306,5532,1393,958,11838
"G1200310","1910","Florida","120","Duval","0310","Duval",19847,17951,18827,18443,37798
"G1200330","1910","Florida","120","Escambia","0330","Escambia",11721,11183,7469,7642,22904
"G1200370","1910","Florida","120","Franklin","0370","Franklin",1400,1311,1305,1182,2711
"G1200390","1910","Florida","120","Gadsden","0390","Gadsden",3704,3526,7251,7714,7230
"G1200470","1910","Florida","120","Hamilton","0470","Hamilton",3185,3107,2816,2717,6292
"G1200530","1910","Florida","120","Hernando","0530","Hernando",1167,1049,1568,1213,2216
"G1200570","1910","Florida","120","Hillsborough","0570","Hillsborough",33205,28666,8513,7932,61871
"G1200590","1910","Florida","120","Holmes","0590","Holmes",5308,5055,666,528,10363
"G1200630","1910","Florida","120","Jackson","0630","Jackson",7906,7660,6931,7323,15566
"G1200650","1910","Florida","120","Jefferson","0650","Jefferson",2141,1955,6587,6527,4096
"G1200670","1910","Florida","120","Lafayette","0670","Lafayette",2891,2458,803,558,5349
"G1200690","1910","Florida","120","Lake","0690","Lake",3068,2814,2046,1581,5882
"G1200710","1910","Florida","120","Lee","0710","Lee",2940,2417,589,348,5357
"G1200730","1910","Florida","120","Leon","0730","Leon",2460,2237,7572,7154,4697
"G1200750","1910","Florida","120","Levy","0750","Levy",3004,2630,2643,2084,5634
"G1200770","1910","Florida","120","Liberty","0770","Liberty",1351,1238,1215,896,2589
"G1200790","1910","Florida","120","Madison","0790","Madison",3758,3750,4725,4685,7508
"G1200810","1910","Florida","120","Manatee","0810","Manatee",3837,3367,1387,959,7204
"G1200830","1910","Florida","120","Marion","0830","Marion",5601,4962,8477,7899,10563
"G1200870","1910","Florida","120","Monroe","0870","Monroe",8406,7294,2834,3008,15700
"G1200890","1910","Florida","120","Nassau","0890","Nassau",2550,2421,2979,2574,4971
"G1200950","1910","Florida","120","Orange","0950","Orange",6009,5491,4006,3598,11500
"G1200970","1910","Florida","120","Osceola","0970","Osceola",2432,2148,551,376,4580
"G1200990","1910","Florida","120","Palm Beach","0990","Palm Beach",1815,1499,1261,959,3314
"G1201010","1910","Florida","120","Pasco","1010","Pasco",2707,2339,1491,965,5046
"G1201050","1910","Florida","120","Polk","1050","Polk",8972,7738,4428,2991,16710
"G1201070","1910","Florida","120","Putnam","1070","Putnam",3277,3011,3584,3220,6288
"G1201090","1910","Florida","120","St Johns","1090","St Johns",3928,3821,2887,2567,7749
