GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BFQ001
"G1200570","1930","Florida","120","Hillsborough","0570","Hillsborough",124360
"G1200590","1930","Florida","120","Holmes","0590","Holmes",12475
"G1200610","1930","Florida","120","Indian River","0610","Indian River",4792
"G1200630","1930","Florida","120","Jackson","0630","Jackson",19417
"G1200650","1930","Florida","120","Jefferson","0650","Jefferson",4288
"G1200670","1930","Florida","120","Lafayette","0670","Lafayette",3631
"G1200690","1930","Florida","120","Lake","0690","Lake",16717
"G1200710","1930","Florida","120","Lee","0710","Lee",11444
"G1200730","1930","Florida","120","Leon","0730","Leon",9681
"G1200750","1930","Florida","120","Levy","0750","Levy",7694
"G1200770","1930","Florida","120","Liberty","0770","Liberty",2646
"G1200790","1930","Florida","120","Madison","0790","Madison",7411
"G1200810","1930","Florida","120","Manatee","0810","Manatee",15680
"G1200830","1930","Florida","120","Marion","0830","Marion",15065
"G1200850","1930","Florida","120","Martin","0850","Martin",3126
"G1200870","1930","Florida","120","Monroe","0870","Monroe",11127
"G1200890","1930","Florida","120","Nassau","0890","Nassau",5486
"G1200910","1930","Florida","120","Okaloosa","0910","Okaloosa",8881
"G1200930","1930","Florida","120","Okeechobee","0930","Okeechobee",2901
"G1200950","1930","Florida","120","Orange","0950","Orange",37494
"G1200970","1930","Florida","120","Osceola","0970","Osceola",7610
"G1200990","1930","Florida","120","Palm Beach","0990","Palm Beach",34987
"G1201010","1930","Florida","120","Pasco","1010","Pasco",8796
"G1201030","1930","Florida","120","Pinellas","1030","Pinellas",51129
"G1201050","1930","Florida","120","Polk","1050","Polk",56266
"G1201070","1930","Florida","120","Putnam","1070","Putnam",10280
"G1201090","1930","Florida","120","St Johns","1090","St Johns",11981
"G1201110","1930","Florida","120","St Lucie","1110","St Lucie",5187
"G1201130","1930","Florida","120","Santa Rosa","1130","Santa Rosa",11875
"G1201150","1930","Florida","120","Sarasota","1150","Sarasota",9634
"G1201170","1930","Florida","120","Seminole","1170","Seminole",10302
"G1201190","1930","Florida","120","Sumter","1190","Sumter",7427
"G1201210","1930","Florida","120","Suwannee","1210","Suwannee",10395
"G1201230","1930","Florida","120","Taylor","1230","Taylor",8141
"G1201250","1930","Florida","120","Union","1250","Union",4582
"G1201270","1930","Florida","120","Volusia","1270","Volusia",30205
"G1201290","1930","Florida","120","Wakulla","1290","Wakulla",3214
"G1201310","1930","Florida","120","Walton","1310","Walton",11852
"G1201330","1930","Florida","120","Washington","1330","Washington",9606
"G1300010","1930","Georgia","130","Appling","0010","Appling",10499
"G1300030","1930","Georgia","130","Atkinson","0030","Atkinson",4932
"G1300050","1930","Georgia","130","Bacon","0050","Bacon",5969
"G1300070","1930","Georgia","130","Baker","0070","Baker",3024
"G1300090","1930","Georgia","130","Baldwin","0090","Baldwin",12141
"G1300110","1930","Georgia","130","Banks","0110","Banks",8740
"G1300130","1930","Georgia","130","Barrow","0130","Barrow",10333
"G1300150","1930","Georgia","130","Bartow","0150","Bartow",20705
"G1300170","1930","Georgia","130","Ben Hill","0170","Ben Hill",8597
"G1300190","1930","Georgia","130","Berrien","0190","Berrien",12294
"G1300210","1930","Georgia","130","Bibb","0210","Bibb",44128
"G1300230","1930","Georgia","130","Bleckley","0230","Bleckley",5872
"G1300250","1930","Georgia","130","Brantley","0250","Brantley",5624
"G1300270","1930","Georgia","130","Brooks","0270","Brooks",10070
"G1300290","1930","Georgia","130","Bryan","0290","Bryan",3286
"G1300310","1930","Georgia","130","Bulloch","0310","Bulloch",16427
"G1300330","1930","Georgia","130","Burke","0330","Burke",6524
"G1300350","1930","Georgia","130","Butts","0350","Butts",4857
"G1300370","1930","Georgia","130","Calhoun","0370","Calhoun",3145
"G1300390","1930","Georgia","130","Camden","0390","Camden",2593
"G1300395","1930","Georgia","130","Campbell","0395","Campbell",6944
"G1300430","1930","Georgia","130","Candler","0430","Candler",5850
"G1300450","1930","Georgia","130","Carroll","0450","Carroll",26654
