GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AH3001,AH3002,AH3003,AH3004,AH3005,AH3006
"G1200310","1860","Florida","120","Duval","0310","Duval",2925,162,1987,0,,
"G1200330","1860","Florida","120","Escambia","0330","Escambia",3653,153,1961,1,,
"G1200370","1860","Florida","120","Franklin","0370","Franklin",1378,6,520,0,,
"G1200390","1860","Florida","120","Gadsden","0390","Gadsden",3981,6,5409,0,,
"G1200470","1860","Florida","120","Hamilton","0470","Hamilton",2734,23,1397,0,,
"G1200530","1860","Florida","120","Hernando","0530","Hernando",1000,0,200,0,,
"G1200570","1860","Florida","120","Hillsborough","0570","Hillsborough",2415,2,564,0,,
"G1200590","1860","Florida","120","Holmes","0590","Holmes",1271,3,112,0,,
"G1200630","1860","Florida","120","Jackson","0630","Jackson",5263,43,4903,0,,
"G1200650","1860","Florida","120","Jefferson","0650","Jefferson",3498,4,6374,0,,
"G1200670","1860","Florida","120","Lafayette","0670","Lafayette",1490,1,577,0,,
"G1200730","1860","Florida","120","Leon","0730","Leon",3194,60,9089,0,,
"G1200750","1860","Florida","120","Levy","0750","Levy",1331,0,450,0,,
"G1200770","1860","Florida","120","Liberty","0770","Liberty",935,1,521,0,,
"G1200790","1860","Florida","120","Madison","0790","Madison",3521,9,4249,0,,
"G1200810","1860","Florida","120","Manatee","0810","Manatee",601,0,253,0,,
"G1200830","1860","Florida","120","Marion","0830","Marion",3294,1,5314,0,,
"G1200870","1860","Florida","120","Monroe","0870","Monroe",2302,160,451,0,,
"G1200875","1860","Florida","120","Monroe-Dade [multi-county reporting area]","0875","Monroe-Dade (multi-county reporting area)",,,,,,
"G1200890","1860","Florida","120","Nassau","0890","Nassau",1978,54,1612,0,,
"G1200895","1860","Florida","120","New River","0895","New River",3075,1,744,0,,
"G1200950","1860","Florida","120","Orange","0950","Orange",823,1,163,0,,
"G1201070","1860","Florida","120","Putnam","1070","Putnam",1634,31,1047,0,,
"G1201090","1860","Florida","120","St Johns","1090","St Johns",1953,82,1003,0,,
"G1201130","1860","Florida","120","Santa Rosa","1130","Santa Rosa",4048,61,1371,0,,
"G1201190","1860","Florida","120","Sumter","1190","Sumter",1000,0,549,0,,
"G1201210","1860","Florida","120","Suwannee","1210","Suwannee",1467,1,835,0,,
"G1201230","1860","Florida","120","Taylor","1230","Taylor",1259,0,125,0,,
"G1201270","1860","Florida","120","Volusia","1270","Volusia",861,0,297,0,,
"G1201290","1860","Florida","120","Wakulla","1290","Wakulla",1672,0,1167,0,,
"G1201310","1860","Florida","120","Walton","1310","Walton",2584,12,441,0,,
"G1201330","1860","Florida","120","Washington","1330","Washington",1670,10,474,0,,
"G1300010","1860","Georgia","130","Appling","0010","Appling",3442,3,745,0,,
"G1300070","1860","Georgia","130","Baker","0070","Baker",1493,0,3492,0,,
"G1300090","1860","Georgia","130","Baldwin","0090","Baldwin",4057,92,4929,0,,
"G1300110","1860","Georgia","130","Banks","0110","Banks",3610,11,1086,0,,
"G1300190","1860","Georgia","130","Berrien","0190","Berrien",3041,2,432,0,,
"G1300210","1860","Georgia","130","Bibb","0210","Bibb",9458,41,6790,2,,
"G1300270","1860","Georgia","130","Brooks","0270","Brooks",3067,2,3282,5,,
"G1300290","1860","Georgia","130","Bryan","0290","Bryan",1636,0,2379,0,,
"G1300310","1860","Georgia","130","Bulloch","0310","Bulloch",3506,0,2162,0,,
"G1300330","1860","Georgia","130","Burke","0330","Burke",5013,100,12052,0,,
"G1300350","1860","Georgia","130","Butts","0350","Butts",3373,15,3067,0,,
"G1300370","1860","Georgia","130","Calhoun","0370","Calhoun",2174,8,2731,0,,
"G1300390","1860","Georgia","130","Camden","0390","Camden",1276,1,4143,0,,
"G1300395","1860","Georgia","130","Campbell","0395","Campbell",6289,8,2004,0,,
"G1300450","1860","Georgia","130","Carroll","0450","Carroll",10116,13,1862,0,,
"G1300455","1860","Georgia","130","Cass","0455","Cass",11433,9,4282,0,,
"G1300470","1860","Georgia","130","Catoosa","0470","Catoosa",4368,4,710,0,,
"G1300490","1860","Georgia","130","Charlton","0490","Charlton",1223,0,557,0,,
"G1300510","1860","Georgia","130","Chatham","0510","Chatham",15511,725,14807,0,,
"G1300530","1860","Georgia","130","Chattahoochee","0530","Chattahoochee",3034,5,2758,0,,
"G1300550","1860","Georgia","130","Chattooga","0550","Chattooga",5107,4,2054,0,,
"G1300570","1860","Georgia","130","Cherokee","0570","Cherokee",10047,45,1199,0,,
"G1300590","1860","Georgia","130","Clarke","0590","Clarke",5539,19,5660,0,,
"G1300610","1860","Georgia","130","Clay","0610","Clay",2626,14,2253,0,,
"G1300630","1860","Georgia","130","Clayton","0630","Clayton",3240,0,1226,0,,
"G1300650","1860","Georgia","130","Clinch","0650","Clinch",2609,5,449,0,,
"G1300670","1860","Georgia","130","Cobb","0670","Cobb",10410,13,3819,0,,
"G1300690","1860","Georgia","130","Coffee","0690","Coffee",2206,10,663,0,,
"G1300710","1860","Georgia","130","Colquitt","0710","Colquitt",1195,11,110,0,,
"G1300730","1860","Georgia","130","Columbia","0730","Columbia",3511,56,8293,0,,
"G1300770","1860","Georgia","130","Coweta","0770","Coweta",7433,22,7248,0,,
"G1300790","1860","Georgia","130","Crawford","0790","Crawford",3407,16,4270,0,,
"G1300830","1860","Georgia","130","Dade","0830","Dade",2765,4,300,0,,
"G1300850","1860","Georgia","130","Dawson","0850","Dawson",3526,4,326,0,,
"G1300870","1860","Georgia","130","Decatur","0870","Decatur",5985,13,5924,0,,
"G1300890","1860","Georgia","130","DeKalb","0890","De Kalb",5798,8,2000,0,,
"G1300930","1860","Georgia","130","Dooly","0930","Dooly",4845,2,4070,0,,
"G1300950","1860","Georgia","130","Dougherty","0950","Dougherty",2207,9,6079,0,,
"G1300990","1860","Georgia","130","Early","0990","Early",2092,0,4057,0,,
"G1301010","1860","Georgia","130","Echols","1010","Echols",1177,0,314,0,,
"G1301030","1860","Georgia","130","Effingham","1030","Effingham",2572,18,2165,0,,
"G1301050","1860","Georgia","130","Elbert","1050","Elbert",4697,25,5711,0,,
"G1301070","1860","Georgia","130","Emanuel","1070","Emanuel",3748,39,1294,0,,
"G1301110","1860","Georgia","130","Fannin","1110","Fannin",4966,1,143,29,,
"G1301130","1860","Georgia","130","Fayette","1130","Fayette",5022,6,2019,0,,
"G1301150","1860","Georgia","130","Floyd","1150","Floyd",9269,13,5913,0,,
"G1301170","1860","Georgia","130","Forsyth","1170","Forsyth",6851,8,890,0,,
"G1301190","1860","Georgia","130","Franklin","1190","Franklin",6038,42,1313,0,,
"G1301210","1860","Georgia","130","Fulton","1210","Fulton",11441,31,2955,0,,
"G1301230","1860","Georgia","130","Gilmer","1230","Gilmer",6553,3,167,1,,
"G1301250","1860","Georgia","130","Glascock","1250","Glascock",1654,25,758,0,,
"G1301270","1860","Georgia","130","Glynn","1270","Glynn",1048,2,2839,0,,
"G1301290","1860","Georgia","130","Gordon","1290","Gordon",8001,39,2106,0,,
"G1301330","1860","Georgia","130","Greene","1330","Greene",4229,25,8398,0,,
"G1301350","1860","Georgia","130","Gwinnett","1350","Gwinnett",10358,31,2551,0,,
"G1301370","1860","Georgia","130","Habersham","1370","Habersham",5136,43,787,0,,
"G1301390","1860","Georgia","130","Hall","1390","Hall",8091,14,1261,0,,
"G1301410","1860","Georgia","130","Hancock","1410","Hancock",3871,36,8137,0,,
"G1301430","1860","Georgia","130","Haralson","1430","Haralson",2810,0,229,0,,
"G1301450","1860","Georgia","130","Harris","1450","Harris",5979,21,7736,0,,
"G1301470","1860","Georgia","130","Hart","1470","Hart",4603,6,1528,0,,
"G1301490","1860","Georgia","130","Heard","1490","Heard",4979,15,2811,0,,
"G1301510","1860","Georgia","130","Henry","1510","Henry",6175,12,4515,0,,
"G1301530","1860","Georgia","130","Houston","1530","Houston",4828,28,10755,0,,
"G1301550","1860","Georgia","130","Irwin","1550","Irwin",1453,0,246,0,,
"G1301570","1860","Georgia","130","Jackson","1570","Jackson",7249,27,3329,0,,
"G1301590","1860","Georgia","130","Jasper","1590","Jasper",3771,18,6954,0,,
"G1301630","1860","Georgia","130","Jefferson","1630","Jefferson",4133,41,6045,0,,
"G1301670","1860","Georgia","130","Johnson","1670","Johnson",2063,7,849,0,,
"G1301690","1860","Georgia","130","Jones","1690","Jones",3084,34,5989,0,,
"G1301750","1860","Georgia","130","Laurens","1750","Laurens",3723,6,3269,0,,
"G1301770","1860","Georgia","130","Lee","1770","Lee",2242,7,4947,0,,
"G1301790","1860","Georgia","130","Liberty","1790","Liberty",2284,23,6083,0,,
"G1301810","1860","Georgia","130","Lincoln","1810","Lincoln",1675,0,3768,0,,
"G1301850","1860","Georgia","130","Lowndes","1850","Lowndes",2850,0,2399,0,,
"G1301870","1860","Georgia","130","Lumpkin","1870","Lumpkin",4156,38,432,0,,
"G1301910","1860","Georgia","130","McIntosh","1910","Mcintosh",1429,54,4063,0,,
"G1301930","1860","Georgia","130","Macon","1930","Macon",3575,9,4865,0,,
