GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012,AV2001
"G0500410","1890","Arkansas","050","Desha","0410","Desha",8198,6514,3934,2,0,5,0,0,0,5,7,1,2119
"G0500430","1890","Arkansas","050","Drew","0430","Drew",9865,5759,3854,0,0,0,0,0,0,0,0,0,7487
"G0500450","1890","Arkansas","050","Faulkner","0450","Faulkner",3348,1418,0,0,0,0,0,0,0,0,0,0,14994
"G0500470","1890","Arkansas","050","Franklin","0470","Franklin",677,493,651,0,0,0,0,0,0,1,3,0,19256
"G0500490","1890","Arkansas","050","Fulton","0490","Fulton",85,36,85,0,0,0,0,0,0,1,0,0,10898
"G0500510","1890","Arkansas","050","Garland","0510","Garland",2774,1562,0,5,4,0,0,0,0,2,0,0,12547
"G0500530","1890","Arkansas","050","Grant","0530","Grant",1035,556,339,0,0,0,0,0,0,1,0,0,6750
"G0500550","1890","Arkansas","050","Greene","0550","Greene",161,75,156,0,0,0,0,0,0,0,0,0,12747
"G0500570","1890","Arkansas","050","Hempstead","0570","Hempstead",10968,9421,6329,0,0,0,0,0,0,9,1,0,11819
"G0500590","1890","Arkansas","050","Hot Spring","0590","Hot Spring",1249,745,650,0,0,0,0,0,0,0,0,1,10354
"G0500610","1890","Arkansas","050","Howard","0610","Howard",3054,2508,0,0,0,0,0,0,0,1,0,0,10734
"G0500630","1890","Arkansas","050","Independence","0630","Independence",1568,1382,908,1,0,0,0,0,0,11,1,0,20381
"G0500650","1890","Arkansas","050","Izard","0650","Izard",262,222,182,0,0,0,0,0,0,0,0,0,12776
"G0500670","1890","Arkansas","050","Jackson","0670","Jackson",4329,2763,1612,1,1,0,0,0,0,0,0,0,10849
"G0500690","1890","Arkansas","050","Jefferson","0690","Jefferson",29908,17011,10167,13,43,10,0,0,0,9,1,0,10951
"G0500710","1890","Arkansas","050","Johnson","0710","Johnson",631,491,613,0,0,0,0,0,0,2,1,0,16125
"G0500730","1890","Arkansas","050","Lafayette","0730","Lafayette",4543,3614,5158,0,0,0,0,0,0,0,0,0,3157
"G0500750","1890","Arkansas","050","Lawrence","0750","Lawrence",833,467,246,0,0,0,0,0,0,0,0,0,12151
"G0500770","1890","Arkansas","050","Lee","0770","Lee",14187,9150,0,1,0,0,0,0,0,7,0,0,4691
"G0500790","1890","Arkansas","050","Lincoln","0790","Lincoln",6469,5040,0,1,0,0,0,0,0,1,3,0,3784
"G0500810","1890","Arkansas","050","Little River","0810","Little River",4001,3335,1878,0,0,0,0,0,0,0,5,0,4902
"G0500830","1890","Arkansas","050","Logan","0830","Logan",1124,984,0,0,0,0,0,0,0,4,0,0,19646
"G0500850","1890","Arkansas","050","Lonoke","0850","Lonoke",7981,4003,0,0,0,0,0,0,0,4,0,0,11278
"G0500870","1890","Arkansas","050","Madison","0870","Madison",58,124,150,0,0,0,0,0,0,0,0,0,17344
"G0500890","1890","Arkansas","050","Marion","0890","Marion",32,43,19,0,0,0,0,0,0,0,0,0,10358
"G0500910","1890","Arkansas","050","Miller","0910","Miller",6565,4595,0,2,0,0,0,0,0,0,0,0,8147
"G0500930","1890","Arkansas","050","Mississippi","0930","Mississippi",5884,2654,971,11,5,0,0,0,0,5,2,0,5735
"G0500950","1890","Arkansas","050","Monroe","0950","Monroe",9203,5209,3200,9,0,0,0,0,0,0,0,1,6124
"G0500970","1890","Arkansas","050","Montgomery","0970","Montgomery",302,258,120,0,0,0,0,0,0,0,0,0,7621
"G0500990","1890","Arkansas","050","Nevada","0990","Nevada",4304,3722,0,0,0,0,0,0,0,2,1,0,10526
"G0501010","1890","Arkansas","050","Newton","1010","Newton",6,5,9,1,0,0,0,0,0,0,0,0,9943
"G0501030","1890","Arkansas","050","Ouachita","1030","Ouachita",8954,6253,5458,1,0,0,0,0,0,2,1,6,8076
"G0501050","1890","Arkansas","050","Perry","1050","Perry",941,800,290,0,0,0,0,0,0,0,0,0,4597
"G0501070","1890","Arkansas","050","Phillips","1070","Phillips",19640,15809,10501,6,9,0,0,0,0,0,0,0,5695
"G0501090","1890","Arkansas","050","Pike","1090","Pike",484,392,421,0,0,0,0,0,0,0,2,0,8053
"G0501110","1890","Arkansas","050","Poinsett","1110","Poinsett",546,290,225,0,0,0,0,0,0,0,0,1,3726
"G0501130","1890","Arkansas","050","Polk","1130","Polk",46,61,45,0,0,0,0,0,0,0,4,8,9237
"G0501150","1890","Arkansas","050","Pope","1150","Pope",1621,909,575,0,0,0,0,0,0,0,0,0,17837
"G0501170","1890","Arkansas","050","Prairie","1170","Prairie",4363,2734,1811,0,0,0,0,0,0,0,10,0,7011
"G0501190","1890","Arkansas","050","Pulaski","1190","Pulaski",21935,14921,13708,18,12,4,0,0,0,47,16,6,25329
"G0501210","1890","Arkansas","050","Randolph","1210","Randolph",595,627,357,0,0,0,0,0,0,0,0,0,13890
"G0501230","1890","Arkansas","050","St Francis","1230","St Francis",8000,3467,2446,0,0,0,0,0,0,2,1,0,5541
"G0501250","1890","Arkansas","050","Saline","1250","Saline",1484,1366,185,0,0,0,0,0,0,0,1,0,9827
"G0501270","1890","Arkansas","050","Scott","1270","Scott",31,83,121,0,0,0,0,0,0,3,6,0,12601
"G0501290","1890","Arkansas","050","Searcy","1290","Searcy",28,16,30,0,0,0,0,0,0,6,0,0,9630
"G0501310","1890","Arkansas","050","Sebastian","1310","Sebastian",3740,1541,1354,15,0,0,0,0,0,47,49,41,29398
"G0501330","1890","Arkansas","050","Sevier","1330","Sevier",1453,1096,968,0,0,0,0,0,0,3,8,1,8616
"G0501350","1890","Arkansas","050","Sharp","1350","Sharp",177,176,114,0,0,0,0,0,0,1,0,0,10240
"G0501370","1890","Arkansas","050","Stone","1370","Stone",113,99,0,0,0,0,0,0,0,0,6,0,6930
