GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AZ2001
"G0500910","1900","Arkansas","050","Miller","0910","Miller",9935
"G0500930","1900","Arkansas","050","Mississippi","0930","Mississippi",8061
"G0500950","1900","Arkansas","050","Monroe","0950","Monroe",5821
"G0500970","1900","Arkansas","050","Montgomery","0970","Montgomery",9125
"G0500990","1900","Arkansas","050","Nevada","0990","Nevada",10776
"G0501010","1900","Arkansas","050","Newton","1010","Newton",12531
"G0501030","1900","Arkansas","050","Ouachita","1030","Ouachita",9257
"G0501050","1900","Arkansas","050","Perry","1050","Perry",6484
"G0501070","1900","Arkansas","050","Phillips","1070","Phillips",5677
"G0501090","1900","Arkansas","050","Pike","1090","Pike",9705
"G0501110","1900","Arkansas","050","Poinsett","1110","Poinsett",5994
"G0501130","1900","Arkansas","050","Polk","1130","Polk",18175
"G0501150","1900","Arkansas","050","Pope","1150","Pope",19850
"G0501170","1900","Arkansas","050","Prairie","1170","Prairie",7684
"G0501190","1900","Arkansas","050","Pulaski","1190","Pulaski",34040
"G0501210","1900","Arkansas","050","Randolph","1210","Randolph",16550
"G0501230","1900","Arkansas","050","St Francis","1230","St Francis",6152
"G0501250","1900","Arkansas","050","Saline","1250","Saline",11202
"G0501270","1900","Arkansas","050","Scott","1270","Scott",13079
"G0501290","1900","Arkansas","050","Searcy","1290","Searcy",11972
"G0501310","1900","Arkansas","050","Sebastian","1310","Sebastian",32476
"G0501330","1900","Arkansas","050","Sevier","1330","Sevier",14292
"G0501350","1900","Arkansas","050","Sharp","1350","Sharp",11987
"G0501370","1900","Arkansas","050","Stone","1370","Stone",8021
"G0501390","1900","Arkansas","050","Union","1390","Union",12775
"G0501410","1900","Arkansas","050","Van Buren","1410","Van Buren",10894
"G0501430","1900","Arkansas","050","Washington","1430","Washington",33367
"G0501450","1900","Arkansas","050","White","1450","White",22208
"G0501470","1900","Arkansas","050","Woodruff","1470","Woodruff",6357
"G0501490","1900","Arkansas","050","Yell","1490","Yell",21080
"G0600010","1900","California","060","Alameda","0010","Alameda",125432
"G0600030","1900","California","060","Alpine","0030","Alpine",359
"G0600050","1900","California","060","Amador","0050","Amador",10805
"G0600070","1900","California","060","Butte","0070","Butte",15733
"G0600090","1900","California","060","Calaveras","0090","Calaveras",10879
"G0600110","1900","California","060","Colusa","0110","Colusa",6840
"G0600130","1900","California","060","Contra Costa","0130","Contra Costa",17088
"G0600150","1900","California","060","Del Norte","0150","Del Norte",2138
"G0600170","1900","California","060","El Dorado","0170","El Dorado",8513
"G0600190","1900","California","060","Fresno","0190","Fresno",34570
"G0600210","1900","California","060","Glenn","0210","Glenn",4867
