GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A3Y001,A3Y002
"G0501350","1910","Arkansas","050","Sharp","1350","Sharp",11688,12199
"G0501370","1910","Arkansas","050","Stone","1370","Stone",8946,8100
"G0501390","1910","Arkansas","050","Union","1390","Union",30723,22495
"G0501410","1910","Arkansas","050","Van Buren","1410","Van Buren",13509,11220
"G0501430","1910","Arkansas","050","Washington","1430","Washington",33889,34256
"G0501450","1910","Arkansas","050","White","1450","White",28574,24864
"G0501470","1910","Arkansas","050","Woodruff","1470","Woodruff",20049,16304
"G0501490","1910","Arkansas","050","Yell","1490","Yell",26323,22750
"G0600010","1910","California","060","Alameda","0010","Alameda",246131,130197
"G0600030","1910","California","060","Alpine","0030","Alpine",309,509
"G0600050","1910","California","060","Amador","0050","Amador",9086,11116
"G0600070","1910","California","060","Butte","0070","Butte",27301,17117
"G0600090","1910","California","060","Calaveras","0090","Calaveras",9171,11200
"G0600110","1910","California","060","Colusa","0110","Colusa",7732,7364
"G0600130","1910","California","060","Contra Costa","0130","Contra Costa",31674,18046
"G0600150","1910","California","060","Del Norte","0150","Del Norte",2417,2408
"G0600170","1910","California","060","El Dorado","0170","El Dorado",7492,8986
"G0600190","1910","California","060","Fresno","0190","Fresno",75657,37862
"G0600210","1910","California","060","Glenn","0210","Glenn",7172,5150
"G0600230","1910","California","060","Humboldt","0230","Humboldt",33857,27104
"G0600250","1910","California","060","Imperial","0250","Imperial",13591,
"G0600270","1910","California","060","Inyo","0270","Inyo",6974,4377
"G0600290","1910","California","060","Kern","0290","Kern",37715,16480
"G0600310","1910","California","060","Kings","0310","Kings",16230,9871
"G0600330","1910","California","060","Lake","0330","Lake",5526,6017
"G0600350","1910","California","060","Lassen","0350","Lassen",4802,4511
"G0600370","1910","California","060","Los Angeles","0370","Los Angeles",504131,170298
"G0600390","1910","California","060","Madera","0390","Madera",8368,6364
"G0600410","1910","California","060","Marin","0410","Marin",25114,15702
"G0600430","1910","California","060","Mariposa","0430","Mariposa",3956,4720
"G0600450","1910","California","060","Mendocino","0450","Mendocino",23929,20465
"G0600470","1910","California","060","Merced","0470","Merced",15148,9215
"G0600490","1910","California","060","Modoc","0490","Modoc",6191,5076
"G0600510","1910","California","060","Mono","0510","Mono",2042,2167
"G0600530","1910","California","060","Monterey","0530","Monterey",24146,19380
"G0600550","1910","California","060","Napa","0550","Napa",19800,16451
"G0600570","1910","California","060","Nevada","0570","Nevada",14955,17789
"G0600590","1910","California","060","Orange","0590","Orange",34436,19696
"G0600610","1910","California","060","Placer","0610","Placer",18237,15786
"G0600630","1910","California","060","Plumas","0630","Plumas",5259,4657
"G0600650","1910","California","060","Riverside","0650","Riverside",34696,17897
"G0600670","1910","California","060","Sacramento","0670","Sacramento",67806,45915
"G0600690","1910","California","060","San Benito","0690","San Benito",8041,6633
"G0600710","1910","California","060","San Bernardino","0710","San Bernardino",56706,27929
"G0600730","1910","California","060","San Diego","0730","San Diego",61665,
"G0600750","1910","California","060","San Francisco","0750","San Francisco",416912,342782
"G0600770","1910","California","060","San Joaquin","0770","San Joaquin",50731,35452
"G0600790","1910","California","060","San Luis Obispo","0790","San Luis Obispo",19383,16637
"G0600810","1910","California","060","San Mateo","0810","San Mateo",26585,12094
"G0600830","1910","California","060","Santa Barbara","0830","Santa Barbara",27738,18934
"G0600850","1910","California","060","Santa Clara","0850","Santa Clara",83539,60216
"G0600870","1910","California","060","Santa Cruz","0870","Santa Cruz",26140,21512
"G0600890","1910","California","060","Shasta","0890","Shasta",18920,17318
"G0600910","1910","California","060","Sierra","0910","Sierra",4098,4017
"G0600930","1910","California","060","Siskiyou","0930","Siskiyou",18801,16962
"G0600950","1910","California","060","Solano","0950","Solano",27559,24143
"G0600970","1910","California","060","Sonoma","0970","Sonoma",48394,38480
"G0600990","1910","California","060","Stanislaus","0990","Stanislaus",22522,9550
"G0601010","1910","California","060","Sutter","1010","Sutter",6328,5886
"G0601030","1910","California","060","Tehama","1030","Tehama",11401,10996
"G0601050","1910","California","060","Trinity","1050","Trinity",3301,4383
"G0601070","1910","California","060","Tulare","1070","Tulare",35440,18375
"G0601090","1910","California","060","Tuolumne","1090","Tuolumne",9979,11166
"G0601110","1910","California","060","Ventura","1110","Ventura",18347,14367
"G0601130","1910","California","060","Yolo","1130","Yolo",13926,13618
"G0601150","1910","California","060","Yuba","1150","Yuba",10042,8620
"G0800010","1910","Colorado","080","Adams","0010","Adams",8892,
"G0800050","1910","Colorado","080","Arapahoe","0050","Arapahoe",10263,
"G0800070","1910","Colorado","080","Archuleta","0070","Archuleta",3302,2117
"G0800090","1910","Colorado","080","Baca","0090","Baca",2516,759
"G0800110","1910","Colorado","080","Bent","0110","Bent",5043,3049
"G0800130","1910","Colorado","080","Boulder","0130","Boulder",30330,21544
"G0800150","1910","Colorado","080","Chaffee","0150","Chaffee",7622,7085
"G0800170","1910","Colorado","080","Cheyenne","0170","Cheyenne",3687,501
"G0800190","1910","Colorado","080","Clear Creek","0190","Clear Creek",5001,7082
"G0800210","1910","Colorado","080","Conejos","0210","Conejos",11285,8794
"G0800230","1910","Colorado","080","Costilla","0230","Costilla",5498,4632
"G0800270","1910","Colorado","080","Custer","0270","Custer",1947,2937
"G0800290","1910","Colorado","080","Delta","0290","Delta",13688,5487
"G0800310","1910","Colorado","080","Denver","0310","Denver",213381,
"G0800330","1910","Colorado","080","Dolores","0330","Dolores",642,1134
"G0800350","1910","Colorado","080","Douglas","0350","Douglas",3192,3120
"G0800370","1910","Colorado","080","Eagle","0370","Eagle",2985,3008
"G0800390","1910","Colorado","080","Elbert","0390","Elbert",5331,3101
"G0800410","1910","Colorado","080","El Paso","0410","El Paso",43321,31602
"G0800430","1910","Colorado","080","Fremont","0430","Fremont",18181,15636
"G0800450","1910","Colorado","080","Garfield","0450","Garfield",10144,5835
"G0800470","1910","Colorado","080","Gilpin","0470","Gilpin",4131,6690
"G0800490","1910","Colorado","080","Grand","0490","Grand",1862,741
"G0800510","1910","Colorado","080","Gunnison","0510","Gunnison",5897,5331
"G0800530","1910","Colorado","080","Hinsdale","0530","Hinsdale",646,1609
"G0800550","1910","Colorado","080","Huerfano","0550","Huerfano",13320,8395
"G0800570","1910","Colorado","080","Jackson","0570","Jackson",1013,
"G0800590","1910","Colorado","080","Jefferson","0590","Jefferson",14231,9306
"G0800610","1910","Colorado","080","Kiowa","0610","Kiowa",2899,701
"G0800630","1910","Colorado","080","Kit Carson","0630","Kit Carson",7483,1580
"G0800650","1910","Colorado","080","Lake","0650","Lake",10600,18054
"G0800670","1910","Colorado","080","La Plata","0670","La Plata",10812,7016
"G0800690","1910","Colorado","080","Larimer","0690","Larimer",25270,11266
"G0800710","1910","Colorado","080","Las Animas","0710","Las Animas",33643,21842
"G0800730","1910","Colorado","080","Lincoln","0730","Lincoln",5917,926
"G0800750","1910","Colorado","080","Logan","0750","Logan",9549,3292
"G0800770","1910","Colorado","080","Mesa","0770","Mesa",22197,9267
"G0800790","1910","Colorado","080","Mineral","0790","Mineral",1239,1913
"G0800830","1910","Colorado","080","Montezuma","0830","Montezuma",5029,3058
"G0800850","1910","Colorado","080","Montrose","0850","Montrose",10291,4535
"G0800870","1910","Colorado","080","Morgan","0870","Morgan",9577,3268
"G0800890","1910","Colorado","080","Otero","0890","Otero",20201,11522
"G0800910","1910","Colorado","080","Ouray","0910","Ouray",3514,4731
"G0800930","1910","Colorado","080","Park","0930","Park",2492,2998
"G0800950","1910","Colorado","080","Phillips","0950","Phillips",3179,1583
"G0800970","1910","Colorado","080","Pitkin","0970","Pitkin",4566,7020
"G0800990","1910","Colorado","080","Prowers","0990","Prowers",9520,3766
"G0801010","1910","Colorado","080","Pueblo","1010","Pueblo",52223,34448
"G0801030","1910","Colorado","080","Rio Blanco","1030","Rio Blanco",2332,1690
"G0801050","1910","Colorado","080","Rio Grande","1050","Rio Grande",6563,4080
"G0801070","1910","Colorado","080","Routt","1070","Routt",7561,3661
"G0801090","1910","Colorado","080","Saguache","1090","Saguache",4160,3853
"G0801110","1910","Colorado","080","San Juan","1110","San Juan",3063,2342
"G0801130","1910","Colorado","080","San Miguel","1130","San Miguel",4700,5379
"G0801150","1910","Colorado","080","Sedgwick","1150","Sedgwick",3061,971
